date,available_stable_funding,required_stable_funding,nsfr,status
2025-06-05,55905094018.91,57393810900.16,97.41,Breach
2025-06-06,55905094018.91,56471077869.05,99.0,Breach
2025-06-07,55905094018.91,57385624841.77,97.42,Breach
2025-06-08,55905094018.91,57504637431.64,97.22,Breach
2025-06-09,55905094018.91,56643577136.4,98.7,Breach
2025-06-10,55905094018.91,56930681627.99,98.2,Breach
2025-06-11,55905094018.91,57015379474.35,98.05,Breach
2025-06-12,55905094018.91,57016077467.92,98.05,Breach
2025-06-13,55905094018.91,56508372795.71,98.93,Breach
2025-06-14,55905094018.91,56748204196.16,98.51,Breach
2025-06-15,55905094018.91,57089727095.44,97.92,Breach
2025-06-16,55905094018.91,57452230504.71,97.31,Breach
2025-06-17,55905094018.91,57297855701.06,97.57,Breach
2025-06-18,55905094018.91,57130142109.73,97.86,Breach
2025-06-19,55905094018.91,57409368746.32,97.38,Breach
2025-06-20,55905094018.91,57266562618.96,97.62,Breach
2025-06-21,55905094018.91,57494728198.01,97.24,Breach
2025-06-22,55905094018.91,56930192845.1,98.2,Breach
2025-06-23,55905094018.91,57026376026.6,98.03,Breach
2025-06-24,55905094018.91,57610358220.62,97.04,Breach
2025-06-25,55905094018.91,57526574940.56,97.18,Breach
2025-06-26,55905094018.91,57260696379.22,97.63,Breach
2025-06-27,55905094018.91,57442002922.73,97.32,Breach
2025-06-28,55905094018.91,56590077360.05,98.79,Breach
2025-06-29,55905094018.91,57552260204.21,97.14,Breach
2025-06-30,55905094018.91,57477134544.11,97.26,Breach
2025-07-01,55905094018.91,57379267911.8,97.43,Breach
2025-07-02,55905094018.91,56846100581.01,98.34,Breach
2025-07-03,55905094018.91,57746187442.56,96.81,Breach
2025-07-04,55905094018.91,56787393573.82,98.45,Breach
2025-07-05,55905094018.91,57309141835.04,97.55,Breach
2025-07-06,55905094018.91,57415616220.53,97.37,Breach
2025-07-07,55905094018.91,56809202362.5,98.41,Breach
2025-07-08,55905094018.91,57811402828.21,96.7,Breach
2025-07-09,55905094018.91,56709460211.81,98.58,Breach
2025-07-10,55905094018.91,57326121474.38,97.52,Breach
2025-07-11,55905094018.91,57073363481.48,97.95,Breach
2025-07-12,55905094018.91,57217403526.32,97.71,Breach
2025-07-13,55905094018.91,56982043700.03,98.11,Breach
2025-07-14,55905094018.91,56795211160.23,98.43,Breach
2025-07-15,55905094018.91,57087687889.99,97.93,Breach
2025-07-16,55905094018.91,56771554709.16,98.47,Breach
2025-07-17,55905094018.91,57883010513.77,96.58,Breach
2025-07-18,55905094018.91,56853675191.44,98.33,Breach
2025-07-19,55905094018.91,57785216007.24,96.75,Breach
2025-07-20,55905094018.91,57384734876.43,97.42,Breach
2025-07-21,55905094018.91,57221545769.63,97.7,Breach
2025-07-22,55905094018.91,56950761300.82,98.16,Breach
2025-07-23,55905094018.91,57777219427.87,96.76,Breach
2025-07-24,55905094018.91,56702154637.77,98.59,Breach
2025-07-25,55905094018.91,57616411706.04,97.03,Breach
2025-07-26,55905094018.91,56795931506.36,98.43,Breach
2025-07-27,55905094018.91,56911771391.97,98.23,Breach
2025-07-28,55905094018.91,57611919943.55,97.04,Breach
2025-07-29,55905094018.91,57230096390.94,97.68,Breach
2025-07-30,55905094018.91,56806260359.57,98.41,Breach
2025-07-31,55905094018.91,56787027234.1,98.45,Breach
2025-08-01,55905094018.91,57836408693.98,96.66,Breach
2025-08-02,55905094018.91,57253289944.1,97.65,Breach
2025-08-03,55905094018.91,57419792359.39,97.36,Breach
2025-08-04,55905094018.91,58040213943.45,96.32,Breach
2025-08-05,55905094018.91,57913677278.91,96.53,Breach
2025-08-06,55905094018.91,56899617215.42,98.25,Breach
2025-08-07,55905094018.91,56963303704.64,98.14,Breach
2025-08-08,55905094018.91,57516707031.65,97.2,Breach
2025-08-09,55905094018.91,57204358222.3,97.73,Breach
2025-08-10,55905094018.91,57831925028.45,96.67,Breach
2025-08-11,55905094018.91,57606759493.25,97.05,Breach
2025-08-12,55905094018.91,58035863191.09,96.33,Breach
2025-08-13,55905094018.91,57052780667.17,97.99,Breach
2025-08-14,55905094018.91,57655690676.76,96.96,Breach
2025-08-15,55905094018.91,57749677255.62,96.81,Breach
2025-08-16,55905094018.91,57434084712.79,97.34,Breach
2025-08-17,55905094018.91,56913487978.95,98.23,Breach
2025-08-18,55905094018.91,57026803781.9,98.03,Breach
2025-08-19,55905094018.91,57113180929.58,97.88,Breach
2025-08-20,55905094018.91,57510883711.11,97.21,Breach
2025-08-21,55905094018.91,57973150141.21,96.43,Breach
2025-08-22,55905094018.91,57657980272.77,96.96,Breach
2025-08-23,55905094018.91,57200664287.24,97.74,Breach
2025-08-24,55905094018.91,57893977850.95,96.56,Breach
2025-08-25,55905094018.91,57338842312.97,97.5,Breach
2025-08-26,55905094018.91,58210989611.65,96.04,Breach
2025-08-27,55905094018.91,57233619485.72,97.68,Breach
2025-08-28,55905094018.91,57041652700.03,98.01,Breach
2025-08-29,55905094018.91,58060446493.26,96.29,Breach
2025-08-30,55905094018.91,58074050706.49,96.27,Breach
2025-08-31,55905094018.91,57106622817.21,97.9,Breach
2025-09-01,55905094018.91,57914219909.51,96.53,Breach
2025-09-02,55905094018.91,57496090181.25,97.23,Breach
2025-09-03,55905094018.91,57822011065.1,96.68,Breach
2025-09-04,55905094018.91,58234185115.59,96.0,Breach
2025-09-05,55905094018.91,57559652149.22,97.13,Breach
2025-09-06,55905094018.91,58257057656.89,95.96,Breach
2025-09-07,55905094018.91,57590432013.05,97.07,Breach
2025-09-08,55905094018.91,57503893478.11,97.22,Breach
2025-09-09,55905094018.91,57385566694.46,97.42,Breach
2025-09-10,55905094018.91,57579506687.65,97.09,Breach
2025-09-11,55905094018.91,58316926234.74,95.86,Breach
2025-09-12,55905094018.91,58344702796.53,95.82,Breach
2025-09-13,55905094018.91,57343305123.32,97.49,Breach
2025-09-14,55905094018.91,57898812081.91,96.56,Breach
2025-09-15,55905094018.91,57395768055.43,97.4,Breach
2025-09-16,55905094018.91,57209328285.14,97.72,Breach
2025-09-17,55905094018.91,58359500174.31,95.79,Breach
2025-09-18,55905094018.91,58111258128.97,96.2,Breach
2025-09-19,55905094018.91,57424873903.31,97.35,Breach
2025-09-20,55905094018.91,57378201307.92,97.43,Breach
2025-09-21,55905094018.91,57460031062.19,97.29,Breach
2025-09-22,55905094018.91,58030120548.46,96.34,Breach
2025-09-23,55905094018.91,57724502794.53,96.85,Breach
2025-09-24,55905094018.91,57326173451.96,97.52,Breach
2025-09-25,55905094018.91,57419583334.05,97.36,Breach
2025-09-26,55905094018.91,58389437398.69,95.75,Breach
2025-09-27,55905094018.91,57931485263.29,96.5,Breach
2025-09-28,55905094018.91,58359072572.83,95.8,Breach
2025-09-29,55905094018.91,58356690655.94,95.8,Breach
2025-09-30,55905094018.91,57539101611.36,97.16,Breach
2025-10-01,55905094018.91,57342599981.38,97.49,Breach
2025-10-02,55905094018.91,57560976271.1,97.12,Breach
2025-10-03,55905094018.91,57888606310.68,96.57,Breach
2025-10-04,55905094018.91,58089791927.66,96.24,Breach
2025-10-05,55905094018.91,58002797337.77,96.38,Breach
2025-10-06,55905094018.91,58543024719.14,95.49,Breach
2025-10-07,55905094018.91,58571772530.18,95.45,Breach
2025-10-08,55905094018.91,57706400927.12,96.88,Breach
2025-10-09,55905094018.91,58066106406.96,96.28,Breach
2025-10-10,55905094018.91,58280539722.93,95.92,Breach
2025-10-11,55905094018.91,57769971606.74,96.77,Breach
2025-10-12,55905094018.91,57692075602.52,96.9,Breach
2025-10-13,55905094018.91,58023687738.16,96.35,Breach
2025-10-14,55905094018.91,57446872119.53,97.32,Breach
2025-10-15,55905094018.91,57761299584.18,96.79,Breach
2025-10-16,55905094018.91,57971214672.73,96.44,Breach
2025-10-17,55905094018.91,57749239652.22,96.81,Breach
2025-10-18,55905094018.91,57681888230.27,96.92,Breach
2025-10-19,55905094018.91,57915656871.41,96.53,Breach
2025-10-20,55905094018.91,58412357348.41,95.71,Breach
2025-10-21,55905094018.91,58245602194.54,95.98,Breach
2025-10-22,55905094018.91,58448994419.72,95.65,Breach
2025-10-23,55905094018.91,57656985946.52,96.96,Breach
2025-10-24,55905094018.91,57551422130.3,97.14,Breach
2025-10-25,55905094018.91,58400419185.11,95.73,Breach
2025-10-26,55905094018.91,58213341348.59,96.03,Breach
2025-10-27,55905094018.91,58465233759.46,95.62,Breach
2025-10-28,55905094018.91,57749637201.9,96.81,Breach
2025-10-29,55905094018.91,58122969592.86,96.18,Breach
2025-10-30,55905094018.91,57903449089.97,96.55,Breach
2025-10-31,55905094018.91,57964586447.89,96.45,Breach
2025-11-01,55905094018.91,58192068254.09,96.07,Breach
2025-11-02,55905094018.91,57775942926.49,96.76,Breach
2025-11-03,55905094018.91,57652700922.38,96.97,Breach
2025-11-04,55905094018.91,58285359207.04,95.92,Breach
2025-11-05,55905094018.91,58048597450.59,96.31,Breach
2025-11-06,55905094018.91,58714926756.47,95.21,Breach
2025-11-07,55905094018.91,58328031029.61,95.85,Breach
2025-11-08,55905094018.91,57633940428.48,97.0,Breach
2025-11-09,55905094018.91,58818674968.74,95.05,Breach
2025-11-10,55905094018.91,58605759607.24,95.39,Breach
2025-11-11,55905094018.91,57988356476.53,96.41,Breach
2025-11-12,55905094018.91,58454030626.52,95.64,Breach
2025-11-13,55905094018.91,58699689768.33,95.24,Breach
2025-11-14,55905094018.91,58107366054.07,96.21,Breach
2025-11-15,55905094018.91,58214292661.77,96.03,Breach
2025-11-16,55905094018.91,58793873919.85,95.09,Breach
2025-11-17,55905094018.91,58839716230.55,95.01,Breach
2025-11-18,55905094018.91,58402722365.75,95.72,Breach
2025-11-19,55905094018.91,57919399840.92,96.52,Breach
2025-11-20,55905094018.91,57927484922.34,96.51,Breach
2025-11-21,55905094018.91,58274169056.7,95.93,Breach
2025-11-22,55905094018.91,58442149088.86,95.66,Breach
2025-11-23,55905094018.91,58621863835.34,95.37,Breach
2025-11-24,55905094018.91,58342449402.03,95.82,Breach
2025-11-25,55905094018.91,58145440586.23,96.15,Breach
2025-11-26,55905094018.91,57997129772.01,96.39,Breach
2025-11-27,55905094018.91,57771962030.79,96.77,Breach
2025-11-28,55905094018.91,58327181349.68,95.85,Breach
2025-11-29,55905094018.91,58077709937.66,96.26,Breach
2025-11-30,55905094018.91,57878527223.0,96.59,Breach
2025-12-01,55905094018.91,58215204580.29,96.03,Breach
2025-12-02,55905094018.91,57977401217.41,96.43,Breach
2025-12-03,55905094018.91,58404247894.32,95.72,Breach
2025-12-04,55905094018.91,58656714303.04,95.31,Breach
2025-12-05,55905094018.91,58128566466.65,96.17,Breach
2025-12-06,55905094018.91,57902205523.77,96.55,Breach
2025-12-07,55905094018.91,58681425164.77,95.27,Breach
2025-12-08,55905094018.91,58704082023.47,95.23,Breach
2025-12-09,55905094018.91,57892209275.9,96.57,Breach
2025-12-10,55905094018.91,58750092068.95,95.16,Breach
2025-12-11,55905094018.91,58063793122.74,96.28,Breach
2025-12-12,55905094018.91,57893741016.13,96.57,Breach
2025-12-13,55905094018.91,58614902375.88,95.38,Breach
2025-12-14,55905094018.91,58413613439.92,95.71,Breach
2025-12-15,55905094018.91,58926269902.81,94.87,Breach
2025-12-16,55905094018.91,58084478230.22,96.25,Breach
2025-12-17,55905094018.91,58348311496.83,95.81,Breach
2025-12-18,55905094018.91,58412488277.47,95.71,Breach
2025-12-19,55905094018.91,58784399408.91,95.1,Breach
2025-12-20,55905094018.91,59069931855.77,94.64,Breach
2025-12-21,55905094018.91,58616160259.92,95.37,Breach
2025-12-22,55905094018.91,58851071469.19,94.99,Breach
2025-12-23,55905094018.91,58305204547.92,95.88,Breach
2025-12-24,55905094018.91,59166817646.46,94.49,Breach
2025-12-25,55905094018.91,58271113840.86,95.94,Breach
2025-12-26,55905094018.91,58660651799.17,95.3,Breach
2025-12-27,55905094018.91,58476487975.87,95.6,Breach
2025-12-28,55905094018.91,58905357740.54,94.91,Breach
2025-12-29,55905094018.91,58698507272.21,95.24,Breach
2025-12-30,55905094018.91,58626066644.84,95.36,Breach
2025-12-31,55905094018.91,59223563118.88,94.4,Breach
