date,maturity_bucket,inflows,outflows,funding_gap,gap_status
2025-01-08,31-90 Days,9170335927.54,6161019445.07,3009316482.47,Positive
2025-01-08,91-180 Days,7450321901.69,5038074507.86,2412247393.83,Positive
2025-01-08,180-365 Days,17539048455.8,11839040630.67,5700007825.13,Positive
2025-01-08,1+ Years,8946377380.17,6065306435.87,2881070944.3,Positive
2025-01-09,0-30 Days,2537283481.8,1722918816.75,814364665.05,Positive
2025-01-09,31-90 Days,9133188941.61,6149560038.48,2983628903.13,Positive
2025-01-09,91-180 Days,7394601422.8,5020885397.98,2373716024.83,Positive
2025-01-09,180-365 Days,17424511915.86,11803707460.36,5620804455.51,Positive
2025-01-09,1+ Years,8867285255.97,6040907449.35,2826377806.62,Positive
2025-01-10,0-30 Days,2546182113.02,1714847437.1,831334675.92,Positive
2025-01-10,31-90 Days,9150412098.82,6133938013.36,3016474085.46,Positive
2025-01-10,91-180 Days,7420436158.61,4997452360.29,2422983798.32,Positive
2025-01-10,180-365 Days,17477616650.57,11755539549.55,5722077101.02,Positive
2025-01-10,1+ Years,8903956228.18,6007645554.19,2896310674.0,Positive
2025-01-11,0-30 Days,2556827840.05,1727035475.92,829792364.13,Positive
2025-01-11,31-90 Days,9171016731.77,6157527765.91,3013488965.87,Positive
2025-01-11,91-180 Days,7451343108.04,5032836989.12,2418506118.93,Positive
2025-01-11,180-365 Days,17541147602.19,11828274619.92,5712872982.27,Positive
2025-01-11,1+ Years,8947826925.85,6057872068.99,2889954856.86,Positive
2025-01-12,0-30 Days,2544164180.06,1723649340.17,820514839.89,Positive
2025-01-12,31-90 Days,9146506422.11,6150973954.78,2995532467.33,Positive
2025-01-12,91-180 Days,7414577643.55,5023006272.43,2391571371.12,Positive
2025-01-12,180-365 Days,17465574147.39,11808067035.61,5657507111.78,Positive
2025-01-12,1+ Years,8895640391.53,6043917912.8,2851722478.73,Positive
2025-01-13,0-30 Days,2557010033.81,1724809701.39,832200332.41,Positive
2025-01-13,31-90 Days,9171369364.85,6153219815.21,3018149549.63,Positive
2025-01-13,91-180 Days,7451872057.65,5026375063.08,2425496994.58,Positive
2025-01-13,180-365 Days,17542234887.5,11814991771.94,5727243115.55,Positive
2025-01-13,1+ Years,8948577740.44,6048699723.97,2899878016.47,Positive
2025-01-14,0-30 Days,2541168704.96,1717387484.63,823781220.33,Positive
2025-01-14,31-90 Days,9140708728.37,6138854234.38,3001854493.99,Positive
2025-01-14,91-180 Days,7405881102.94,5004826691.83,2401054411.11,Positive
2025-01-14,180-365 Days,17447697925.03,11770697897.72,5677000027.31,Positive
2025-01-14,1+ Years,8883296135.28,6018113008.12,2865183127.15,Positive
2025-01-15,0-30 Days,2553663810.65,1720128698.5,833535112.15,Positive
2025-01-15,31-90 Days,9164892803.9,6144159809.6,3020732994.3,Positive
2025-01-15,91-180 Days,7442157216.24,5012785054.66,2429372161.58,Positive
2025-01-15,180-365 Days,17522265491.25,11787056754.65,5735208736.61,Positive
2025-01-15,1+ Years,8934788062.76,6029409462.03,2905378600.73,Positive
2025-01-16,0-30 Days,2556408896.24,1726742493.54,829666402.7,Positive
2025-01-16,31-90 Days,9170205872.79,6156960703.24,3013245169.55,Positive
2025-01-16,91-180 Days,7450126819.56,5031986395.11,2418140424.45,Positive
2025-01-16,180-365 Days,17538647453.65,11826526176.68,5712121276.96,Positive
2025-01-16,1+ Years,8946100471.93,6056664698.06,2889435773.87,Positive
2025-01-17,0-30 Days,2536438942.38,1712267150.89,824171791.5,Positive
2025-01-17,31-90 Days,9131554349.19,6128943911.0,3002610438.19,Positive
2025-01-17,91-180 Days,7392149534.17,4989961206.76,2402188327.41,Positive
2025-01-17,180-365 Days,17419471922.56,11740141067.3,5679330855.26,Positive
2025-01-17,1+ Years,8863804936.27,5997012277.93,2866792658.34,Positive
2025-01-18,0-30 Days,2557319723.62,1724299048.87,833020674.76,Positive
2025-01-18,31-90 Days,9171968764.49,6152231455.48,3019737309.01,Positive
2025-01-18,91-180 Days,7452771157.13,5024892523.48,2427878633.64,Positive
2025-01-18,180-365 Days,17544083036.41,11811944329.45,5732138706.96,Positive
2025-01-18,1+ Years,8949853962.19,6046595341.38,2903258620.81,Positive
2025-01-19,0-30 Days,2551764337.52,1718337925.64,833426411.88,Positive
2025-01-19,31-90 Days,9161216404.3,6140693797.63,3020522606.67,Positive
2025-01-19,91-180 Days,7436642616.83,5007586036.7,2429056580.14,Positive
2025-01-19,180-365 Days,17510929925.82,11776369884.39,5734560041.43,Positive
2025-01-19,1+ Years,8926960395.28,6022029744.86,2904930650.41,Positive
2025-01-20,0-30 Days,2553526172.18,1734218476.79,819307695.39,Positive
2025-01-20,31-90 Days,9164626406.87,6171430348.24,2993196058.62,Positive
2025-01-20,91-180 Days,7441757620.68,5053690862.62,2388066758.06,Positive
2025-01-20,180-365 Days,17521444100.39,11871140915.46,5650303184.93,Positive
2025-01-20,1+ Years,8934220859.07,6087472983.89,2846747875.19,Positive
2025-01-21,0-30 Days,2564877104.44,1725522096.2,839355008.24,Positive
2025-01-21,31-90 Days,9186595953.16,6154598643.86,3031997309.3,Positive
2025-01-21,91-180 Days,7474711940.13,5028443306.05,2446268634.08,Positive
2025-01-21,180-365 Days,17589183534.81,11819243160.28,5769940374.53,Positive
2025-01-21,1+ Years,8980997684.73,6051635479.97,2929362204.76,Positive
2025-01-22,0-30 Days,2534601072.29,1722374389.29,812226683.0,Positive
2025-01-22,31-90 Days,9127997181.27,6148506307.91,2979490873.36,Positive
2025-01-22,91-180 Days,7386813782.28,5019304802.12,2367508980.17,Positive
2025-01-22,180-365 Days,17408503988.13,11800458457.75,5608045530.38,Positive
2025-01-22,1+ Years,8856231132.9,6038663881.33,2817567251.57,Positive
2025-01-23,0-30 Days,2560802607.68,1719546325.84,841256281.84,Positive
2025-01-23,31-90 Days,9178709830.41,6143032636.72,3035677193.68,Positive
2025-01-23,91-180 Days,7462882756.0,5011094295.34,2451788460.65,Positive
2025-01-23,180-365 Days,17564867989.65,11783581304.94,5781286684.71,Positive
2025-01-23,1+ Years,8964206815.03,6027009523.11,2937197291.93,Positive
2025-01-24,0-30 Days,2565545042.88,1733867051.79,831677991.09,Positive
2025-01-24,31-90 Days,9187888737.24,6170750170.81,3017138566.43,Positive
2025-01-24,91-180 Days,7476651116.25,5052670596.47,2423980519.77,Positive
2025-01-24,180-365 Days,17593169619.05,11869043701.71,5724125917.34,Positive
2025-01-24,1+ Years,8983750237.5,6086024772.77,2897725464.73,Positive
2025-01-25,0-30 Days,2546075595.91,1721408753.04,824666842.88,Positive
2025-01-25,31-90 Days,9150205936.67,6146637334.52,3003568602.15,Positive
2025-01-25,91-180 Days,7420126915.38,5016501342.03,2403625573.35,Positive
2025-01-25,180-365 Days,17476980983.94,11794695789.8,5682285194.14,Positive
2025-01-25,1+ Years,8903517274.6,6034684525.49,2868832749.11,Positive
2025-01-26,0-30 Days,2528896923.12,1711068478.13,817828444.99,Positive
2025-01-26,31-90 Days,9116956892.55,6126623899.22,2990332993.33,Positive
2025-01-26,91-180 Days,7370253349.2,4986481189.09,2383772160.12,Positive
2025-01-26,180-365 Days,17374463097.91,11732987697.63,5641475400.27,Positive
2025-01-26,1+ Years,8832724518.17,5992072586.17,2840651932.0,Positive
2025-01-27,0-30 Days,2547591494.54,1720758736.18,826832758.36,Positive
2025-01-27,31-90 Days,9153139934.01,6145379237.37,3007760696.64,Positive
2025-01-27,91-180 Days,7424527911.4,5014614196.32,2409913715.09,Positive
2025-01-27,180-365 Days,17486027475.76,11790816656.94,5695210818.82,Positive
2025-01-27,1+ Years,8909764243.96,6032005826.99,2877758416.97,Positive
2025-01-28,0-30 Days,2559552520.74,1704094724.97,855457795.76,Positive
2025-01-28,31-90 Days,9176290307.29,6113126312.46,3063163994.83,Positive
2025-01-28,91-180 Days,7459253471.33,4966234808.95,2493018662.38,Positive
2025-01-28,180-365 Days,17557407793.38,11691370138.46,5866037654.92,Positive
2025-01-28,1+ Years,8959055247.07,5963333974.36,2995721272.71,Positive
2025-01-29,0-30 Days,2542091568.55,1709100765.54,832990803.01,Positive
2025-01-29,31-90 Days,9142494915.97,6122815423.24,3019679492.73,Positive
2025-01-29,91-180 Days,7408560384.34,4980768475.12,2427791909.22,Positive
2025-01-29,180-365 Days,17453205336.8,11721244896.7,5731960440.1,Positive
2025-01-29,1+ Years,8887099226.38,5983963706.07,2903135520.31,Positive
2025-01-30,0-30 Days,2554743303.51,1711563965.64,843179337.87,Positive
2025-01-30,31-90 Days,9166982144.91,6127582907.3,3039399237.61,Positive
2025-01-30,91-180 Days,7445291227.75,4987919701.21,2457371526.54,Positive
2025-01-30,180-365 Days,17528707626.03,11735944639.21,5792762986.81,Positive
2025-01-30,1+ Years,8939236617.99,5994114474.21,2945122143.78,Positive
2025-01-31,0-30 Days,2543760386.89,1718105817.81,825654569.09,Positive
2025-01-31,31-90 Days,9145724886.95,6140244556.66,3005480330.29,Positive
2025-01-31,91-180 Days,7413405340.81,5006912175.24,2406493165.57,Positive
2025-01-31,180-365 Days,17463164414.0,11774984724.74,5688179689.26,Positive
2025-01-31,1+ Years,8893976372.93,6021073235.97,2872903136.96,Positive
2025-02-01,0-30 Days,2541092598.35,1724116845.08,816975753.27,Positive
2025-02-01,31-90 Days,9140561425.26,6151878803.0,2988682622.26,Positive
2025-02-01,91-180 Days,7405660148.27,5024363544.76,2381296603.52,Positive
2025-02-01,180-365 Days,17447243740.43,11810856984.29,5636386756.15,Positive
2025-02-01,1+ Years,8882982502.4,6045844485.47,2837138016.93,Positive
2025-02-02,0-30 Days,2556751682.59,1729247903.46,827503779.12,Positive
2025-02-02,31-90 Days,9170869330.23,6161809883.74,3009059446.5,Positive
2025-02-02,91-180 Days,7451122005.74,5039260165.86,2411861839.88,Positive
2025-02-02,180-365 Days,17540693114.11,11841477816.56,5699215297.56,Positive
2025-02-02,1+ Years,8947513083.41,6066989411.54,2880523671.88,Positive
2025-02-03,0-30 Days,2558008074.99,1727927481.19,830080593.8,Positive
2025-02-03,31-90 Days,9173301057.45,6159254227.71,3014046829.74,Positive
2025-02-03,91-180 Days,7454769596.56,5035426681.82,2419342914.74,Positive
2025-02-03,180-365 Days,17548190939.7,11833597877.15,5714593062.56,Positive
2025-02-03,1+ Years,8952690635.95,6061547993.92,2891142642.03,Positive
2025-02-04,0-30 Days,2567110269.56,1707539237.8,859571031.76,Positive
2025-02-04,31-90 Days,9190918208.25,6119793111.49,3071125096.76,Positive
2025-02-04,91-180 Days,7481195322.76,4976235007.48,2504960315.27,Positive
2025-02-04,180-365 Days,17602510487.99,11711926102.12,5890584385.87,Positive
2025-02-04,1+ Years,8990200486.18,5977528700.62,3012671785.57,Positive
2025-02-05,0-30 Days,2556861388.21,1724087917.35,832773470.86,Positive
2025-02-05,31-90 Days,9171081663.69,6151822813.84,3019258849.85,Positive
2025-02-05,91-180 Days,7451440505.91,5024279561.01,2427160944.9,Positive
2025-02-05,180-365 Days,17541347808.92,11810684351.04,5730663457.88,Positive
2025-02-05,1+ Years,8947965176.72,6045725275.21,2902239901.51,Positive
2025-02-06,0-30 Days,2545930482.36,1723198228.89,822732253.48,Positive
2025-02-06,31-90 Days,9149925071.73,6150100836.16,2999824235.57,Positive
2025-02-06,91-180 Days,7419705617.98,5021696594.5,2398009023.48,Positive
2025-02-06,180-365 Days,17476114983.72,11805374919.88,5670740063.85,Positive
2025-02-06,1+ Years,8902919266.35,6042058897.75,2860860368.6,Positive
2025-02-07,0-30 Days,2552265208.93,1728534771.01,823730437.92,Positive
2025-02-07,31-90 Days,9162185832.83,6160429627.38,3001756205.45,Positive
2025-02-07,91-180 Days,7438096759.63,5037189781.33,2400906978.3,Positive
2025-02-07,180-365 Days,17513918997.12,11837222026.12,5676696970.99,Positive
2025-02-07,1+ Years,8929024470.19,6064050615.71,2864973854.48,Positive
2025-02-08,0-30 Days,2546845630.63,1701657532.15,845188098.49,Positive
2025-02-08,31-90 Days,9151696326.45,6108409165.05,3043287161.39,Positive
2025-02-08,91-180 Days,7422362500.05,4959159087.84,2463203412.21,Positive
2025-02-08,180-365 Days,17481576352.43,11676825600.62,5804750751.81,Positive
2025-02-08,1+ Years,8906690562.84,5953290381.34,2953400181.5,Positive
2025-02-09,0-30 Days,2545462205.91,1720134886.32,825327319.6,Positive
2025-02-09,31-90 Days,9149018730.21,6144171786.03,3004846944.19,Positive
2025-02-09,91-180 Days,7418346105.7,5012803019.3,2405543086.41,Positive
2025-02-09,180-365 Days,17473320430.71,11787093681.96,5686226748.76,Positive
2025-02-09,1+ Years,8900989514.2,6029434961.83,2871554552.37,Positive
2025-02-10,0-30 Days,2567754665.92,1720695607.3,847059058.62,Positive
2025-02-10,31-90 Days,9192165427.0,6145257052.45,3046908374.55,Positive
2025-02-10,91-180 Days,7483066150.89,5014430918.93,2468635231.96,Positive
2025-02-10,180-365 Days,17606356079.15,11790439920.1,5815916159.06,Positive
2025-02-10,1+ Years,8992856022.78,6031745674.93,2961110347.86,Positive
2025-02-11,0-30 Days,2550294576.32,1714550527.74,835744048.58,Positive
2025-02-11,31-90 Days,9158371705.19,6133363350.07,3025008355.12,Positive
2025-02-11,91-180 Days,7432375568.17,4996590365.37,2435785202.8,Positive
2025-02-11,180-365 Days,17502158770.23,11753767671.1,5748391099.13,Positive
2025-02-11,1+ Years,8920903556.76,6006422000.28,2914481556.48,Positive
2025-02-12,0-30 Days,2534195941.29,1716185375.69,818010565.61,Positive
2025-02-12,31-90 Days,9127213056.76,6136527571.91,2990685484.85,Positive
2025-02-12,91-180 Days,7385637595.52,5001336698.12,2384300897.4,Positive
2025-02-12,180-365 Days,17406086270.89,11763524021.75,5642562249.14,Positive
2025-02-12,1+ Years,8854561601.13,6013159155.93,2841402445.2,Positive
2025-02-13,0-30 Days,2547240660.24,1727649798.7,819590861.54,Positive
2025-02-13,31-90 Days,9152460899.88,6158716777.73,2993744122.15,Positive
2025-02-13,91-180 Days,7423509360.2,5034620506.85,2388888853.35,Positive
2025-02-13,180-365 Days,17483933787.18,11831940739.7,5651993047.47,Positive
2025-02-13,1+ Years,8908318467.11,6060403673.33,2847914793.78,Positive
2025-02-14,0-30 Days,2569778194.93,1722976926.01,846801268.92,Positive
2025-02-14,31-90 Days,9196081934.77,6149672508.02,3046409426.75,Positive
2025-02-14,91-180 Days,7488940912.54,5021054102.29,2467886810.26,Positive
2025-02-14,180-365 Days,17618431978.11,11804054241.43,5814377736.67,Positive
2025-02-14,1+ Years,9001194920.58,6041146915.74,2960048004.83,Positive
2025-02-15,0-30 Days,2543028911.77,1725680851.74,817348060.03,Positive
2025-02-15,31-90 Days,9144309128.66,6154905912.66,2989403215.99,Positive
2025-02-15,91-180 Days,7411281703.37,5028904209.25,2382377494.12,Positive
2025-02-15,180-365 Days,17458799159.25,11820190572.42,5638608586.83,Positive
2025-02-15,1+ Years,8890961987.55,6052289706.46,2838672281.09,Positive
2025-02-16,0-30 Days,2574407782.14,1726605026.67,847802755.47,Positive
2025-02-16,31-90 Days,9205042426.14,6156694638.32,3048347787.81,Positive
2025-02-16,91-180 Days,7502381649.59,5031587297.74,2470794351.85,Positive
2025-02-16,180-365 Days,17646060159.81,11825705809.87,5820354349.94,Positive
2025-02-16,1+ Years,9020273300.1,6056098201.51,2964175098.59,Positive
2025-02-17,0-30 Days,2554745565.92,1712371997.51,842373568.41,Positive
2025-02-17,31-90 Days,9166986523.79,6129146839.95,3037839683.83,Positive
2025-02-17,91-180 Days,7445297796.06,4990265600.18,2455032195.88,Positive
2025-02-17,180-365 Days,17528721127.56,11740766764.89,5787954362.67,Positive
2025-02-17,1+ Years,8939245941.35,5997444347.48,2941801593.87,Positive
2025-02-18,0-30 Days,2563984012.71,1719859078.2,844124934.51,Positive
2025-02-18,31-90 Days,9184867388.53,6143637963.86,3041229424.67,Positive
2025-02-18,91-180 Days,7472119093.18,5012002286.05,2460116807.13,Positive
2025-02-18,180-365 Days,17583853793.86,11785447730.27,5798406063.58,Positive
2025-02-18,1+ Years,8977317282.53,6028298365.47,2949018917.07,Positive
2025-02-19,0-30 Days,2559004618.88,1697999597.33,861005021.55,Positive
2025-02-19,31-90 Days,9175229852.08,6101329291.21,3073900560.87,Positive
2025-02-19,91-180 Days,7457662788.5,4948539277.07,2509123511.43,Positive
2025-02-19,180-365 Days,17554138056.47,11654995989.61,5899142066.86,Positive
2025-02-19,1+ Years,8956797361.17,5938216149.95,3018581211.22,Positive
2025-02-20,0-30 Days,2559208679.9,1739532427.02,819676252.87,Positive
2025-02-20,31-90 Days,9175624808.89,6181715413.2,2993909395.69,Positive
2025-02-20,91-180 Days,7458255223.72,5069118460.06,2389136763.66,Positive
2025-02-20,180-365 Days,17555355839.98,11902853199.08,5652502640.89,Positive
2025-02-20,1+ Years,8957638290.06,6109371601.36,2848266688.7,Positive
2025-02-21,0-30 Days,2549168226.79,1730478804.51,818689422.28,Positive
2025-02-21,31-90 Days,9156191673.85,6164192272.85,2991999400.99,Positive
2025-02-21,91-180 Days,7429105521.15,5042833749.54,2386271771.62,Positive
2025-02-21,180-365 Days,17495437006.92,11848823516.34,5646613490.58,Positive
2025-02-21,1+ Years,8916261906.69,6072061915.03,2844199991.65,Positive
2025-02-22,0-30 Days,2571995399.87,1720041512.22,851953887.65,Positive
2025-02-22,31-90 Days,9200373299.17,6143991061.97,3056382237.2,Positive
2025-02-22,91-180 Days,7495377959.14,5012531933.22,2482846025.92,Positive
2025-02-22,180-365 Days,17631663685.0,11786536449.45,5845127235.54,Positive
2025-02-22,1+ Years,9010331950.6,6029050170.2,2981281780.4,Positive
2025-02-23,0-30 Days,2552962958.6,1717080937.02,835882021.58,Positive
2025-02-23,31-90 Days,9163536316.05,6138260916.42,3025275399.63,Positive
2025-02-23,91-180 Days,7440122484.46,5003936714.88,2436185769.58,Positive
2025-02-23,180-365 Days,17518082987.05,11768868500.66,5749214486.39,Positive
2025-02-23,1+ Years,8931899874.05,6016849735.29,2915050138.76,Positive
2025-02-24,0-30 Days,2558112397.64,1734033727.88,824078669.76,Positive
2025-02-24,31-90 Days,9173502972.27,6171072769.7,3002430202.56,Positive
2025-02-24,91-180 Days,7455072468.78,5053154494.81,2401917973.97,Positive
2025-02-24,180-365 Days,17548813510.38,11870038381.62,5678775128.76,Positive
2025-02-24,1+ Years,8953120546.24,6086711639.57,2866408906.67,Positive
2025-02-25,0-30 Days,2552013214.2,1730174122.06,821839092.15,Positive
2025-02-25,31-90 Days,9161698101.1,6163602564.88,2998095536.22,Positive
2025-02-25,91-180 Days,7437365162.04,5041949187.58,2395415974.46,Positive
2025-02-25,180-365 Days,17512415157.62,11847005250.08,5665409907.54,Positive
2025-02-25,1+ Years,8927986008.05,6070806328.47,2857179679.58,Positive
2025-02-26,0-30 Days,2559958331.46,1719209437.63,840748893.83,Positive
2025-02-26,31-90 Days,9177075747.39,6142380595.02,3034695152.37,Positive
2025-02-26,91-180 Days,7460431631.48,5010116232.79,2450315398.69,Positive
2025-02-26,180-365 Days,17559829567.02,11781570843.02,5778258724.0,Positive
2025-02-26,1+ Years,8960727579.95,6025621217.65,2935106362.3,Positive
2025-02-27,0-30 Days,2542977940.39,1723287166.81,819690773.58,Positive
2025-02-27,31-90 Days,9144210474.37,6150272974.09,2993937500.28,Positive
2025-02-27,91-180 Days,7411133721.94,5021954801.39,2389178920.55,Positive
2025-02-27,180-365 Days,17458494975.19,11805905678.48,5652589296.71,Positive
2025-02-27,1+ Years,8890751936.13,6042425408.08,2848326528.05,Positive
2025-02-28,0-30 Days,2547226865.52,1721482598.54,825744266.98,Positive
2025-02-28,31-90 Days,9152434200.42,6146780261.31,3005653939.11,Positive
2025-02-28,91-180 Days,7423469311.01,5016715732.22,2406753578.8,Positive
2025-02-28,180-365 Days,17483851463.85,11795136480.73,5688714983.12,Positive
2025-02-28,1+ Years,8908261619.51,6034988840.45,2873272779.07,Positive
2025-03-01,0-30 Days,2556155577.63,1719535783.33,836619794.3,Positive
2025-03-01,31-90 Days,9169715578.7,6143012231.86,3026703346.84,Positive
2025-03-01,91-180 Days,7449391378.44,5011063688.04,2438327690.39,Positive
2025-03-01,180-365 Days,17537135713.55,11783518389.94,5753617323.62,Positive
2025-03-01,1+ Years,8945056554.11,6026966077.75,2918090476.36,Positive
2025-03-02,0-30 Days,2541431266.31,1717922163.78,823509102.53,Positive
2025-03-02,31-90 Days,9141216911.63,6139889097.25,3001327814.38,Positive
2025-03-02,91-180 Days,7406643377.82,5006378986.13,2400264391.69,Positive
2025-03-02,180-365 Days,17449264823.41,11773888724.89,5675376098.51,Positive
2025-03-02,1+ Years,8884378142.13,6020316403.64,2864061738.48,Positive
2025-03-03,0-30 Days,2561528153.24,1717123288.17,844404865.07,Positive
2025-03-03,31-90 Days,9180114112.14,6138342886.39,3041771225.74,Positive
2025-03-03,91-180 Days,7464989178.59,5004059669.85,2460929508.74,Positive
2025-03-03,180-365 Days,17569197858.31,11769121241.42,5800076616.9,Positive
2025-03-03,1+ Years,8967196764.88,6017024263.03,2950172501.85,Positive
2025-03-04,0-30 Days,2541282872.21,1717502266.22,823780605.98,Positive
2025-03-04,31-90 Days,9140929697.23,6139076392.3,3001853304.93,Positive
2025-03-04,91-180 Days,7406212556.23,5005159928.7,2401052627.53,Positive
2025-03-04,180-365 Days,17448379245.69,11771382884.63,5676996361.06,Positive
2025-03-04,1+ Years,8883766614.81,6018586019.35,2865180595.46,Positive
2025-03-05,0-30 Days,2554359791.97,1722086819.11,832272972.85,Positive
2025-03-05,31-90 Days,9166239864.51,6147949720.48,3018290144.03,Positive
2025-03-05,91-180 Days,7444177807.15,5018469920.97,2425707886.18,Positive
2025-03-05,180-365 Days,17526418928.13,11798742313.17,5727676614.96,Positive
2025-03-05,1+ Years,8937656179.31,6037478813.93,2900177365.38,Positive
2025-03-06,0-30 Days,2551852843.91,1738800454.48,813052389.44,Positive
2025-03-06,31-90 Days,9161387706.99,6180298692.14,2981089014.84,Positive
2025-03-06,91-180 Days,7436899570.86,5066993378.47,2369906192.39,Positive
2025-03-06,180-365 Days,17511458109.1,11898484975.81,5612973133.28,Positive
2025-03-06,1+ Years,8927325127.25,6106355166.1,2820969961.14,Positive
2025-03-07,0-30 Days,2546600483.47,1721493490.47,825106993.0,Positive
2025-03-07,31-90 Days,9151221848.07,6146801342.45,3004420505.62,Positive
2025-03-07,91-180 Days,7421650782.49,5016747353.93,2404903428.55,Positive
2025-03-07,180-365 Days,17480113377.43,11795201480.93,5684911896.5,Positive
2025-03-07,1+ Years,8905680319.3,6035033725.72,2870646593.58,Positive
2025-03-08,0-30 Days,2536498280.45,1703731459.26,832766821.19,Positive
2025-03-08,31-90 Days,9131669197.06,6112423217.54,3019245979.52,Positive
2025-03-08,91-180 Days,7392321805.97,4965180166.57,2427141639.41,Positive
2025-03-08,180-365 Days,17419826036.83,11689202262.46,5730623774.37,Positive
2025-03-08,1+ Years,8864049466.53,5961836968.1,2902212498.43,Positive
2025-03-09,0-30 Days,2540878882.17,1722928511.99,817950370.18,Positive
2025-03-09,31-90 Days,9140147781.04,6149578803.46,2990568977.58,Positive
2025-03-09,91-180 Days,7405039681.95,5020913545.44,2384126136.5,Positive
2025-03-09,180-365 Days,17445968337.43,11803765319.04,5642203018.4,Positive
2025-03-09,1+ Years,8882101784.92,6040947403.11,2841154381.81,Positive
2025-03-10,0-30 Days,2551447122.48,1714414235.35,837032887.14,Positive
2025-03-10,31-90 Days,9160602439.71,6133099558.35,3027502881.36,Positive
2025-03-10,91-180 Days,7435721669.95,4996194677.78,2439526992.17,Positive
2025-03-10,180-365 Days,17509036868.32,11752954313.28,5756082555.04,Positive
2025-03-10,1+ Years,8925653162.33,6005860343.73,2919792818.6,Positive
2025-03-11,0-30 Days,2532487948.78,1741876460.37,790611488.42,Positive
2025-03-11,31-90 Days,9123907264.8,6186252251.93,2937655012.87,Positive
2025-03-11,91-180 Days,7380678907.59,5075923718.16,2304755189.44,Positive
2025-03-11,180-365 Days,17395893412.37,11916841785.16,5479051627.21,Positive
2025-03-11,1+ Years,8847523019.1,6119031287.16,2728491731.95,Positive
2025-03-12,0-30 Days,2560047890.42,1710594721.59,849453168.83,Positive
2025-03-12,31-90 Days,9177249087.32,6125706951.07,3051542136.26,Positive
2025-03-12,91-180 Days,7460691641.37,4985105766.86,2475585874.51,Positive
2025-03-12,180-365 Days,17560364031.8,11730160440.83,5830203590.97,Positive
2025-03-12,1+ Years,8961096649.54,5990120250.73,2970976398.82,Positive
2025-03-13,0-30 Days,2561804007.25,1706484963.26,855319043.99,Positive
2025-03-13,31-90 Days,9180648023.12,6117752580.11,3062895443.01,Positive
2025-03-13,91-180 Days,7465790045.06,4973174210.42,2492615834.64,Positive
2025-03-13,180-365 Days,17570844083.83,11705634463.71,5865209620.13,Positive
2025-03-13,1+ Years,8968333550.34,5973184069.23,2995149481.11,Positive
2025-03-14,0-30 Days,2544002481.71,1711618702.05,832383779.65,Positive
